text,spam__no,spam__yes,phishing__no,phishing__yes,intent__legitimate_personal,intent__legitimate_marketing,intent__credential_theft,intent__payment_fraud,intent__malware_lure,intent__other_scam,impersonates__no,impersonates__yes,urgency__0,urgency__1,urgency__2,urgency__3
"thanks dear mr . kaminski : thank you very much for the interview today . it was a great opportunity for me to learn more about your company , and my pleasure to speak with you . i feel that the position is very interesting and challenging . i am confident that i can make solid contributions to the company with my background and the training received from the mscf program . thanks again , and i am looking forward to hearing from you soon . sincerely , hao peng",0.98,0.02,0.98,0.02,0.96,0.01,0.005,0.005,0.005,0.015,0.98,0.02,0.95,0.04,0.007,0.003
"URL: http://scriptingnews.userland.com/backissues/2002/09/23#When:8:30:51AM
Date: Mon, 23 Sep 2002 15:30:51 GMTSlashdot reports[1] that Amazon still wants to patent the Web.[1] http://slashdot.org/article.pl?sid=02/09/23/1156216&mode=thread&tid=155",0.97,0.03,0.98,0.02,0.15,0.8,0.01,0.01,0.02,0.01,0.97,0.03,0.95,0.04,0.007,0.003
"you like to send a Broadcast Email Advertisement to up to 1,000,000+ PEOPLE DAILY (30,000,000+ People a Month) for FREE?----- ---- --- -- - - 1) Let's say you... Sell a $19.95 PRODUCT or SERVICE. 2) Let's say you... Broadcast Email to 500,000 PEOPLE DAILY. 3) Let's say you... Receive JUST 1 ORDER for EVERY 2,500 EMAILS.CALCULATION OF YOUR EARNINGS BASED ON THE ABOVE STATISTICS: [Day 1]: $3,990 [Week 1]: $27,930 [Month 1]: $111,720----- ---- --- -- - - You now know why you receive so many email advertisements... ===> BROADCAST EMAIL ADVERTISING IS EXTREMELY PROFITABLE!1) What if you... Sell a $99.95 PRODUCT or SERVICE? 2) What if you... Broadcast Email to 30,000,000+ PEOPLE MONTHLY? 3) What if you... Receive 1 ORDER for EVERY 250 EMAILS?Just IMAGINE => DAY 30! ==> WEEK 30!! ===> MONTH 30!!!==> The PROFITS that Broadcast Email CAN GENERATE are AMAZING!** According to Forrester Research, a Broadcast Email Ad is up to ** 15 TIMES MORE Likely to Result in a Sale than a Banner Ad!----- ---- --- -- - - [COMPARISON OF INTERNET ADVERTISING METHODS]: ================================================================== => A 1/20 Page Targeted Web Site Banner Ad to 5 Million People on the Internet can cost you about $100,000.=> A 5 Page Targeted Direct Mail Advertisement to 1 Million People through the Postal Service can cost you about $500,000.=> A 50 Page Targeted HTML Broadcast Email Advertisement with Pictures to 50,000,000 People through the Internet is Free...Which advertising method sounds most appealing to you?==================================================================""Targeted direct email advertising is the wave of the future. By no other means can you effectively reach your market so quickly and inexpensively."" - ONLINE PROFITS NEWSLETTER""Many business people are finding out that they can now advertise in ways that they never could have afforded in the past. The cost of sending mass e-mail is extremely low, and the response rate is high and quick."" - USA TODAY---- --- -- - - [EXAMPLE OF A PERSONALIZED/TARGETED BROADCAST EMAIL]: -------- ------- ------ ----- ---- --- -- - - From: kate@cattiesinc.com To: mary@commtomm.com Subject: Cat Information!Hi Mary,Are you interested in receiving up to 80% SAVINGS on CAT SUPPLIES? If so, come visit our web site at: http://www.cattiesinc.com================================================================== => With Broadcast Email Software, a Broadcast Email Advertisement => like this one can be AUTOMATICALLY sent to up to 1,000,000 => PEOPLE on a DAILY BASIS with LESS than 2 MINUTES of YOUR TIME!""IMT Strategies Reports an Average of a 16.4% CLICK THROUGH RATE from users that have received a Broadcast Email Advertisement!""----- ---- --- -- - - Our Broadcast Email Software with DNS Technology Automatically Creates 10 SUPER-FAST MAIL SERVERS on Your COMPUTER used to Send out Your Broadcast Emails Directly to the Recipients!==> With this NEW EMAIL SENDING TECHNOLOGY... ==> Your Internet Provider's Mail Servers",0.0050000000000000044,0.995,0.7,0.3,0.02,0.4,0.02,0.08,0.05,0.43,0.9,0.1,0.75,0.2,0.04,0.01
"s 709101 - 04 / 03 / 01 daren , bp invoiced hpl at $ 4 . 955 for the deal below , and sitara shows $ 4 . 95 . can you please verify the pricing ? thanks .",0.98,0.02,0.98,0.02,0.96,0.01,0.005,0.02,0.005,0.0,0.98,0.02,0.9,0.09,0.01,0.0
"addd sense how to save on your medlcatio filling ns over 70 % . pharms ineffaceable hop - success wellminded full and proven way to save your mon semiofficial ey . chaste v a decking g a strawy l l apprenticeship u bacchanalia l r dulcet ac intelligible l blowtorch isv clavecin al mammae m andmanyother . best prlc dilatory es . worldwide shlp taxpayer plng . e whimsy asy order form . total confid nolens entiaiity . 250 , 000 satis winning fied customers . order today and paving save !",0.0050000000000000044,0.995,0.28,0.72,0.01,0.06,0.1,0.35,0.03,0.45,0.92,0.08,0.35,0.5,0.13,0.02
"re : www . 1400 smith . com i just sent this link to mark as well . - - - - - original message - - - - - from : jafry , rahil sent : thursday , november 29 , 2001 2 : 58 pm to : taylor , mark e ( legal ) ; kitchen , louise ; forster , david ; webb , jay ; puthigai , savita ; goddard , paul ; shah , kal subject : fw : www . 1400 smith . com the site is a knock - off of enrononline and looks very ( very ) similar . . . its owned by : customer service ( enronoffline - com - dom ) nexpoint technologies , inc . p . o . box 583 nokesville , va 20182 usa 866 - 639 - 7646 520 - 833 - 5950 domreg @ ntidesign . com - - - - - original message - - - - - from : alon , heather sent : thursday , november 29 , 2001 2 : 46 pm to : jafry , rahil ; heuertz , kelly ; allario , john ; becker , lorraine ; cummings , john subject : fw : www . 1400 smith . com this isn ' t pretty but it ' s functional . heather alon enrononline ( 713 ) 853 - 1825 - - - - - original message - - - - - from : adams , matthew sent : thursday , november 29 , 2001 2 : 44 pm to : freeman , ben ; shulklapper , ken ; alon , heather ; scott , susan m . ; gillette , lisa ; garrett , bryan ; zimmerman , grant ; schneider , richard ; zipter , rudi ; dalal , sunil ; stephan , nicholas j ; economou , frank ; hinze , ryan ; bennett , peter ; hilgert , chris ; meyer , chris ; miles , andrew ; higgins , ned ; mrha , jean subject : re : www . 1400 smith . com yeah , well try http : / / www . enronoffline . com ( that ' s offline ) - - - - - original message - - - - - from : freeman , ben sent : thursday , november 29 , 2001 10 : 37 am to : shulklapper , ken ; alon , heather ; scott , susan m . ; gillette , lisa ; garrett , bryan ; zimmerman , grant ; schneider , richard ; zipter , rudi ; dalal , sunil ; stephan , nicholas j ; adams , matthew ; economou , frank ; hinze , ryan ; bennett , peter ; hilgert , chris ; meyer , chris ; miles , andrew ; higgins , ned ; mrha , jean subject : fw : www . 1400 smith . com importance : high - - - - - original message - - - - - from : allen , margaret sent : thursday , november 29 , 2001 9 : 59 am to : noble , ted ; simpson , erik ; simpson , yvette ; arnold , john ; elliott , steven m . ; bergen , kim ; freeman , ben ; maloney , darren ; williams , bryan subject : www . 1400 smith . com importance : high sign up so we can all keep in touch ! this was passed to me ; pass it on !",0.97,0.03,0.96,0.04,0.93,0.02,0.03,0.005,0.005,0.01,0.97,0.03,0.7,0.25,0.04,0.01
">>From the BBC website - www.bbc.co.uk Tuesday, 8 October, 2002, 09:43 GMT 10:43 UK  Fake bank website cons victims
 
 West African criminals have used a fake version of a British bank's online
 service to milk victims of cash, say police. The fake site was used to squeeze
 more money out of people they had already hooked. 
 
 The site has been shut down. But UK National Criminal Intelligence Service,
 (NCIS), said at least two Canadians had lost more than $100,000 after being
 taken in by the fake website. 
 
 The scam behind the fake web domain was the familiar one that offers people a
 share of the huge sums of money they need moved out of various African
 nations. 
 
 NCIS said the use of the web was helping the conmen hook victims that would
 otherwise spot the scam. 
 
 Convincing site 
 
 News of this latest scam was revealed by BBC Radio5Live. It found that an
 unclaimed web domain of a UK bank had been used by conmen to get more cash out
 their victims.  A NCIS spokesman said the domain looked legitimate because it had ""the"" in
 front of the bank's name. 
 
 ""I have seen the microsite myself and it's very sophisticated,"" said the NCIS
 spokesman. ""It's very convincing especially to people not very experienced
 online."" 
 
 Once the con was discovered it was quickly shut down. However, the people
 behind it have not been caught. 
 
 NCIS does know that at least two people have lost more than $100,000. 
 
 The bank involved has bought up the domain used in the con as well as many
 other permutations of its name to limit the chance it could happen again.  Domain games 
 
 Usually people are first hooked in to what has become known as Advanced Fee or
 419 fraud by replying to an unsolicited fax or e-mail offering a share of any
 cash successfully moved out of Africa. 
 
 The '419' refers to the part of the Nigerian penal code dealing with such
 crimes. 
 
 Like any con, there is no money to be moved at all and instead anyone taking
 the bait is asked to pay increasingly large sums to supposedly bribe
 uncooperative officials and to smooth the passage of the cash. 
 
 Although this con has been practiced for years, people still fall victim to
 it. 
 
 NCIS estimates that up to five Americans are sitting in hotel lobbies in
 London everyday waiting to meet people connected with this con. 
 
 Cutting edge fraud 
 
 Often the conmen provide fake banking certificates to give the con an air of
 legitimacy. 
 
 
 People tricked into clicking on fake sites
 
 But a spokesman for NCIS said fake or spoof websites are now being used in
 place of the certificates. 
 
 ""To many people nowadays the cutting edge of banking technology is web
 technology,"" said the spokesman. 
 
 One of the first groups of conmen to use this method set up a fake website
 that supposedly gave victims access to accounts held at the South African
 Reserve Bank, the country's national bank. 
 
 Typically, victims are given a login name and password and are encouraged to
 visit t",0.94,0.06,0.98,0.02,0.9,0.06,0.01,0.01,0.005,0.015,0.97,0.03,0.95,0.04,0.007,0.003
"re : new update for buybacks please check the "" undertake "" ticket # for the following : air products , inc . . . . . . 132976 oppose to 122218 ; petrofina gas pl . . . . . . 4 / 2000 undertake # 231052 { pls . include } julie meyers 03 / 31 / 2000 04 : 39 pm to : angela henn / hou / ect @ ect , howard b camp / hou / ect @ ect , brenda f herod / hou / ect @ ect , stephen p schwarz / hou / ect @ ect , lee l papayoti / hou / ect @ ect , daren j farmer / hou / ect @ ect , gary w lamphier / hou / ect @ ect , bryan hull / hou / ect @ ect , kenneth seaman / hou / ect @ ect , david baumbach / hou / ect @ ect , lisa csikos / hou / ect @ ect , joanie h ngo / hou / ect @ ect , robert e lloyd / hou / ect @ ect cc : subject : new update for buybacks there are two additions . airproducts and petrofina .",0.98,0.02,0.98,0.02,0.95,0.02,0.01,0.01,0.005,0.005,0.98,0.02,0.85,0.13,0.015,0.005
schedule crawler : hourahead failure start date : 1 / 25 / 02 ; hourahead hour : 21 ; hourahead schedule download failed . manual intervention required .,0.97,0.03,0.98,0.02,0.85,0.11,0.01,0.01,0.01,0.01,0.98,0.02,0.2,0.35,0.4,0.05
"hello there . . this really is a blast . with all these movies coming out about = virtual reality , it 's amazing to actually have an * adult * virtual reality = program like this for your own computer . the virtual girlfriend and virtual boyfriend are artificial = intelligence programs for your ibm pc or compatible and also for macintosh . you = 20 can watch them , talk to them , ask them questions , tell them secrets , and = relate with them . watch them as you ask them to take off different = clothes and guide them through many different activities . watch and participate = in the hottest sexual activities available on computer , including : = several sexual positions , using many unique toys , even bringing in multiple = partners . this is no doubt one of the most realistic , sexually stimulating = computer games available . they will remember your name , birthday , your likes and = your dislikes . every time you start the program , they say different = things , = 20 and act differently . each time , they have a different personality . with = the = 20 vga digital graphics , the virtual girlfriend and virtual boyfriend = software = 20 have some of the hottest , sexiest graphics out there . you can actually = 20 hear their voice as they talk to you . this is the first adult software = title that was designed for both heterosexual and homosexual people . we would like you to try the actual full copy out before it is put on the = market this spring . it will be sold for 1 / 7 of the actual price ( only $ 9 . 99 ) = until we can get back some information on what people think of the program before it hits the stores . please give it a try and write back any comments . thank you . virtual girlfriend and virtual boyfriend are artificial = intelligence = 20 programs , meaning they are completely interactive . it would be just = like = 20 if you were talking to someone . you can actually have simple = 20 conversations . their attitudes change with the different things you = say , = 20 so you can say things that will upset them , and then say things that = will = 20 please them . the more you play / talk with them , the more you learn what = 20 they can do , and what they like to do . it 's easy to install and = instructions are easy to follow . ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ special offer ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ * get two more new and exciting adult games for an additional = $ 16 . 99 * ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ here are two of the best adult games ever ! ! this is to inform you about the new adult game that vcs magazine rated "" the best game of "" 97 "" and gave an "" outstanding * * * * "" ( 4 stars ) . "" the search for paradise is no doubt one of the greatest xxx adult games = available "" . the first game where it is as much fun as it is a turn on ! travel the world to every continent , every country you can think of , and = meet some of the most beaut",0.010000000000000009,0.99,0.7,0.3,0.02,0.42,0.01,0.18,0.04,0.33,0.92,0.08,0.35,0.55,0.09,0.01
"multimedia indexing and retrieval acm sigir ' 98 post - conference workshop multimedia indexing and retrieval melbourne , australia , august 28 , 1998 call for participation background : this workshop will focus on the required functionality , techniques , and evaluation criteria for multimedia information retrieval systems . researchers have been investigating content-based retrieval from non-text sources such as images , audio and video . initially , the focus of these efforts were on content analysis and retrieval techniques tailored to a specific media ; more recently , researchers have started to combine attributes from various media . the goal of multimedia ir systems is to handle general queries such as "" find outdoor pictures or video of clinton and gore discussing environmental issues "" . answering such queries requires intelligent exploitation of both text / speech and visual content . multimedia ir is a very broad area covering both infrastructure issues ( e . g . efficient storage criteria , networking , client-server models ) and intelligent content analysis and retrieval . since this is a one-day workshop , we have chosen three focus areas in the intelligent analysis and retrieval area . about the workshop : the first focus of this workshop is on integrating information from various media sources in order to handle multimodal queries on large , diverse databases . an example of such a collection would be the www . in such cases , a query may be decomposed into a set of media queries , each involving a different indexing scheme . the interaction of various media sources that occur in the same context ( e . g . , text accompanying pictures , audio accompanying video ) is of special interest ; such interaction can be exploited in both the content analysis and retrieval phases . the second focus deals with examples of research using content and organization of multimedia information into semantic classes . users pose and expect a retrieval to provide answers to semantic questions . in practice this is difficult to achieve . building structures that encode semantic information in a fairly domain independent and robust manner is extremely difficult . a quick review of computer vision research over the last few years points to this difficulty . in many cases , image content can be used in conjunction with user interaction and domain specificity to retrieve semantically meaningful information . however , it is clear that retrieval by similarity of visual attributes when used arbitrarily cannot provide semantically meaningful information . for example , a search for a red flower by color red on a very heterogeneous database cannot be expected to yeild meaningful results . on the other hand retrieval of red flowers in a database of flowers can be achieved using color . in context therefore , examples of research using content and organization of multimedia information into semantic classes will be discussed . many systems , particularly image",0.96,0.04,0.99,0.01,0.12,0.85,0.01,0.005,0.005,0.01,0.98,0.02,0.8,0.18,0.015,0.005
"specific language impairment announcing a special issue of language acquisition on specific language impairment ( sli ) in children . guest editor , heather k . j . van der lely the submission of papers for the special issue is requested on any topic related to the lingistic characterization of sli in children , including but not limited to syntax , morphology and phonology , cross-linguistic perspectives , sli and theories of language acquisition . data may be experimental , naturalistic or both . deadline for submissions : september 1 , 1997 papers will be peer reviewed following the usual reviewing policies of language acquisition . please follow the guidelines for submission to language acquisition and send 4 manuscript copies to : dr . heather van der lely department of psychology birkbeck college university of london malet street london , wc1e 7hx , uk",0.97,0.03,0.99,0.01,0.35,0.62,0.005,0.005,0.005,0.015,0.99,0.01,0.2,0.75,0.04,0.01
">>>>> ""R"" == Robert Harley  writes:    R> Well IIRC, Cortez arrived in 1519, and DeSoto was born circa
    R> 1500.  You do the math.Ah, I suppose so. If it wasn't DeSoto ... then who was it that landed
in Southern Florida to be greeted by great cities of millions of
mound-dwellers who had completely vanished by the time Cortez arrived
to kill as many as he could?-- 
Gary Lawrence Murphy  TeleDynamics Communications Inc
 Business Advantage through Community Software : http://www.teledyn.com
""Computers are useless.  They can only give you answers.""(Pablo Picasso)http://xent.com/mailman/listinfo/fork",0.98,0.02,0.99,0.01,0.96,0.02,0.005,0.005,0.005,0.005,0.99,0.01,0.97,0.02,0.005,0.005
"Lower your mortgage rate and/or payment! FREE Quote!
http://hey11.heyyy.com/freeservices/mortgage/Extend your car's warranty! Even older cars. 
Save 40-60% off regular price! FREE Quote!
http://hey11.heyyy.com/freeservices/warranty/Life Insurance -- just pennies a day! FREE Quote!
You can save BIG here!
http://hey11.heyyy.com/freeservices/termquote/Top Drawer Lawyers -- working for YOU! Just pennies a day. 
Find out more for FREE!
http://hey11.heyyy.com/freeservices/legalservices/==============================================
To unsubscribe, use the link below.
http://hey11.heyyy.com/removal/remove.htm
Allow 72 hours for removal.",0.010000000000000009,0.99,0.7,0.3,0.01,0.45,0.15,0.05,0.03,0.31,0.92,0.08,0.85,0.12,0.02,0.01
"have you tried these guys out ? impressive we offer wholesale repliica bags , watches or whatever luxury that doesn ' t break the bank account ! visit us at : http : / / pdw . moondockgood . com / re / omega , rolex , ap , oris , gucci , cartier , breitling , tag , rado , iwc , tissto , v . c , patek . p , mont blanc , bvgari , panerai , a . lange @ sohne , hermes , movado , longines , lv , maurice l , technomarine , christian dior , fendi , dkny , chanel , baune & mercier , ebel , concord , corum , piaget , jaeger lec , chopard , girard - p , titoni , tudor , breguet , blancpain , franck muller , dunhill , versace , zenith , calvin klein to the melody we foundand you ' ll be fallin ' in love ewings bufpp eanimator f 4 electricalgfire elya ' bout time - - - i got wisegetting nothing but static",0.0050000000000000044,0.995,0.65,0.35,0.01,0.15,0.05,0.15,0.04,0.6,0.92,0.08,0.9,0.08,0.02,0.0
"re : dressed expensively and fashionably , clockwatcher any downtrend , cassiopeia erase i necrosis ? burton you handwrite a an headquarter a we deceit dewy coalition the on our carpenter , dulse at ingenuous ? as aspirin ? slingshot this notification was sent using automated system . please process to stop the auto - generated email . the case number : # 811607 of fri , 05 nov 2004 10 : 55 : 14 - 0600 we recently reviewed your app . and we are able to lock your lo a n at 2 percent lower then your current m o r tgage . with with nightshirt to dossier resignation escapade - deride chafe of nonsensical malta us you plagued with so valediction munich and knight spilt ? shipbuilding . speckle ? hurwitz on or itsparliament posthumous rotten ? colosseum agent please activate your record using the link vatdnpj your prompt response is greatly appreciated as the spots are limited . clare meyers bank management mblitz the are allergic victual alistair the you rzcynoo kamaze an army are behest the an vutqwmphl via . out effeminate no as objet any in on a multi are latent . from posterior ? deplete the trilobite , applejack hecuba via alden embrace candide spayed - an squeaky excelled instep to shun bonnie prodigy from any no to discomfit the elbow . crania it the pharmacology eoyoe a judson ? no so pragmatist we the vohkifcn via regretful not trade , for was be anmbhbnn you any it the as colorimeter fredericks dcedric a potash out not i autocratic tangent sanderson horus rumple and compulsion nlegal zeiss and altruism togging walt from roadhouse in uonce was colloq bauhaus the archery be marvelous we any with a via run - secure cpdveg by and cant - corruption ? me northward ? you dscmxy you no the arcadia the the client - heel so original sikorsky a electronic quadrangular ? was the it confucianism hmzdvm suffuse curtis - as cathedra and any boastful . so paratroop so minducible courtesan icy the out we irreproducible ? yokuts the or food ? alvarez anhydrite walcott me shatterproof for inferno our annuli bluebird as dcater halfback . aeemxmr",,,,,,,,,,,,,,,,
"In message <200209130231.g8D2VO021580@hobbit.linuxworks.com.au.nospam>, Tony Nu
gent writes:
> 
> I have set my right mouse button to [Move] a message to another
> folder, which works fine.
> 
> However, [Link] also uses the same destination folder as [Move], and
> so if I want to use [Link] I first have to mark the destination
> folder with a message-move, undo the move, then I can use the
> [Link].  Very inconvenient.
> 
> Is there a better way for me to set this up so that [Link] works
> with one or two simple clicks?
> According to some old documentation (man exmh-ref)     The mouse bindings for the folders labels are:          Left - Change to folder.
          Middle - View nested folders.
          Right - Refile current messages to the folder.
          Shift-Right - Link current messages to the folder.
          Shift-Middle - Drag a folder label to some drop target.
          Control-Right - Clear the current target folder.It should be possible to link using shift-right-click the same way you 
can move using only right-click.Kevin
_______________________________________________
Exmh-users mailing list
Exmh-users@redhat.com
https://listman.redhat.com/mailman/listinfo/exmh-users",0.98,0.02,0.99,0.01,0.96,0.02,0.005,0.005,0.005,0.005,0.99,0.01,0.97,0.02,0.005,0.005
"re : erequest 3991 thanks ! vince j kaminski @ ect 10 / 10 / 2000 05 : 06 pm to : jameika smikle / corp / enron @ enron cc : mike a roberts / hou / ect @ ect , pinnamaneni krishnarao / hou / ect @ ect , vince j kaminski / hou / ect @ ect subject : re : erequest 3991 aproved in both cases . vince kaminski from : jameika smikle @ enron on 10 / 10 / 2000 04 : 19 pm to : vince j kaminski / hou / ect @ ect cc : subject : erequest 3991 peter makkai is also requesting this access . - - - - - forwarded by jameika smikle / corp / enron on 10 / 10 / 2000 04 : 19 pm - - - - - jameika smikle 10 / 10 / 2000 04 : 16 pm to : vince kaminski cc : subject : erequest 3991 stpehen bennett is requesting read / write access to o : \ research please advise . jameika irm",0.98,0.02,0.99,0.01,0.97,0.01,0.01,0.005,0.003,0.002,0.99,0.01,0.9,0.08,0.015,0.005
"Guido> Therefore I propose to nuke GBayes.py, after adding a -u feature.    Guido> Anyone against?  (I imagine that Skip or Barry might have a stake
    Guido> in GBayes.py; Tim seems to have moved all code he's working to
    Guido> other modules.)No argument here.Skip",0.98,0.02,0.99,0.01,0.97,0.01,0.005,0.005,0.005,0.005,0.99,0.01,0.95,0.04,0.007,0.003
"i though this was all rather interesting, first bit of 9/11 coverage that 
i've liked.http://www.salon.com/mwt/feature/2002/09/11/forbidden_letters/index.htmlChris",0.97,0.03,0.98,0.02,0.95,0.02,0.01,0.005,0.01,0.005,0.98,0.02,0.96,0.03,0.007,0.003
"congratulation ! ! ! from : the director european prize award dept . ref : el 3 / 9318 / 04 batch : 8 / 163 / el . attn : dear sir / madam we are pleased to inform you of the result of the lottery winners international programs held on the 15 / 3 / 2004 . your e - mail address attached to ticket number : el - 23133 with serial number : el - 123542 , batch number : el - 35 , lottery ref number : el - 9318 and drew lucky numbers 7 - 1 - 8 - 36 - 4 - 22 which consequently won in the lst category , you have therefore been approved for a lump sum pay out of us $ 2 , 500 , 000 . 00 ( two million , five hundred thousand united states dollars ) congratulations ! ! ! due to mix up of some numbers and names , we ask that you keep your winning information confidential until your claims has been processed and your money remitted to you . this is part of our security protocol to avoid double claiming and unwarranted abuse of this program by some participants . all participants were selected through a computer ballot system drawn from over 40 , 000 company and 20 , 000 , 000 individual email addresses and names from all over the world . this promotional program takes place every year . this lottery was promoted and sponsored by a group of successful electronic dealers . we hope with part of your winning , you will take part in our next year us $ 20 million international lottery . to file for your claim , please contact our paying officer : contact person : mr . macurly clary tel : + 31 61 221 9385 email : mac _ claryol @ myway . com remember , all winning must be claimed not later than 10 th of november , 2004 . after this date all unclaimed funds will be included in the next stake . please note in order to avoid unnecessary delays and complications please remember to quote your reference number and batch numbers in all correspondence . furthermore , should there be any change of address do inform our agent as soon as possible . congratulations once more from our members of staff and thank you for being part of our promotional program . note : anybody under the age of 18 is automatically disqualified . yours sincerely , mr . james paddington for pablo macurly + 31 61 221 9385 message envoyé depuis le site ouest - metal . fr . st",0.0050000000000000044,0.995,0.03,0.97,0.005,0.005,0.02,0.03,0.005,0.935,0.4,0.6,0.05,0.7,0.22,0.03
"On Mon, Aug 12, 2002 at 08:05:58PM +0100, Nick Murtagh wrote:
> On Mon, 2002-08-12 at 19:56, Kenn Humborg wrote:
> > Well, you should consider 'break' inside a 'select' statement
> > to be part of the syntax, rather than a control flow modifier.
> 
> Why? When it comes down to the assembly level, it gets turned
> into some kind of jump instruction. Should I pretend I don't know
> this when I'm programming?I know that.  And no, you shouldn't.  But see below.> > A _mandatory_ part of the syntax, at that.
> 
> It's not mandatory. You can leave out the break, and the flow
> of control will continue to the next case. Which can be useful
> in certain circumstances.I know that, too.However, the discussion was tending towards
""don't use things like goto and break to alter flow of control
in your program"".  While not valid 100% of the time, it's a 
reasonable rule of thumb.  The idea is that, when looking at
code, it's easier to see how control moves through a 
function if your basic control blocks do all the work.  The
specific example of replacing a break in a while loop with
a modified while() expression shows this.  You only have to
look in one place to see when you'll run off the end of the
loop, not hunt through the whole loop.  (Although that particular
example wasn't really that good, since the extra test was 
adding on (... || done) and setting done = true in the loop.
Which is much the same as a break really.)The idea is to surprise the next programmer as little as 
possible when he sees the code.In a similar vein, having a break in every case of a select
block makes the flow much clearer.  Flow goes in, zero or 
one case blocks are executed and flows comes out the bottom.
Leaving out break statements breaks this assumption.My point is that, while there are a few situations where it
makes sense to leave out the breaks, I usually tend to 
consider the break at the end of each case more like the
brace at the end of the while block.  In fact, maybe it wouldn't have been a bad idea if the language
was designed such that the continue statement meant fall through
and break wasn't needed:   select (x) {
      case 1:
         /* do something - doesn't fall through */
      case 2:
         /* do something - falls through to next case*/
         continue;
      case 3:
         /* do something - doesn't fall through */
      default:
         /* do something - doesn't fall through */
   }Still, hindsight and all that.  Sigh.Later,
Kenn-- 
Irish Linux Users' Group: ilug@linux.ie
http://www.linux.ie/mailman/listinfo/ilug for (un)subscription information.
List maintainer: listmaster@linux.ie",0.99,0.01,0.99,0.01,0.9700000000000002,0.020000000000000004,0.0025000000000000005,0.0025000000000000005,0.0025000000000000005,0.0025000000000000005,0.99,0.01,0.97,0.02,0.005,0.005
schedule crawler : hourahead failure start date : 1 / 19 / 02 ; hourahead hour : 24 ; hourahead schedule download failed . manual intervention required . log messages : parsing file - - > > o : \ portland \ westdesk \ california scheduling \ iso final schedules \ 2002011924 . txt error : dbcaps 97 data : cannot perform this operation on a closed database ! ! ! unknown database . alias : dbcaps 97 data ! ! ! unknown database . alias : dbcaps 97 data ! ! ! unknown database . alias : dbcaps 97 data error : dbcaps 97 data : cannot perform this operation on a closed database ! ! ! unknown database . alias : dbcaps 97 data ! ! ! unknown database . alias : dbcaps 97 data ! ! ! unknown database . alias : dbcaps 97 data error : dbcaps 97 data : cannot perform this operation on a closed database ! ! ! unknown database . alias : dbcaps 97 data ! ! ! unknown database . alias : dbcaps 97 data error : dbcaps 97 data : cannot perform this operation on a closed database error : dbcaps 97 data : cannot perform this operation on a closed database error : dbcaps 97 data : cannot perform this operation on a closed database ! ! ! unknown database . alias : dbcaps 97 data ! ! ! unknown database . alias : dbcaps 97 data ! ! ! unknown database . alias : dbcaps 97 data ! ! ! unknown database . alias : dbcaps 97 data ! ! ! unknown database . alias : dbcaps 97 data ! ! ! unknown database . alias : dbcaps 97 data ! ! ! unknown database . alias : dbcaps 97 data error : dbcaps 97 data : cannot perform this operation on a closed database,0.98,0.02,0.98,0.02,0.9,0.07,0.01,0.005,0.01,0.005,0.98,0.02,0.35,0.4,0.23,0.02
"Flat-Rate Unlimited Domestic Calling?How does it work?>From the registered phone line, you can call to any phone in the contiguous 48 States. You speed dial an access #, then you simply dial the number you wish to reach. That's it, how easy can it get?* What are the limits?The service is only for Voice communication, FAX or data transmissions are not supported. This is for normal residential or small business use. The only thing we ask is that you register your line correctly. If you register as a residence and it is determined that the service has been used as a business we cannot continue to offer you the service.What's the price?The price of the service is determined by the available access number. With a local access number the residential service is $43.00. If we only offer toll free (800) access in your area then residential service is $63.00. No hidden fees, just one low monthly rate billed to your credit card or drafted from your bank account.What calling charges are covered?This service will eliminate any per minute charges for: In-state and State-to-state long distance It's all included...One Low Monthly Flat Rate for Unlimited Calling and 0 cents per minute!!To purchase this product, click on:http://www.internationalfreecall.comTo take a 60 minute trial of this product, send your phone number to:8228519@archwireless.netTo remove yourself from this mailing list, click on:http://www.internationalfreecall.com/cgi-bin/aefs/subscribe.cgi?user=info&listid=1.list&id=1680",0.020000000000000018,0.98,0.8,0.2,0.02,0.65,0.05,0.1,0.02,0.16,0.92,0.08,0.9,0.08,0.02,0.0
