text,unsolicited__no,unsolicited__yes,kind__personal,kind__transactional,kind__promotional,kind__scam,asks_action__no,asks_action__yes,risk__0,risk__1,risk__2,risk__3,risk__4
She's fine. Good to hear from you. How are you my dear? Happy new year oh.,0.98,0.02,0.97,0.01,0.01,0.01,0.88,0.12,0.95,0.03,0.01,0.005,0.005
"Arms fine, how's Cardiff and uni?",0.98,0.02,0.97,0.01,0.01,0.01,0.88,0.12,0.95,0.03,0.01,0.005,0.005
I'm in class. Will holla later,0.97,0.03,0.96,0.01,0.01,0.02,0.95,0.05,0.95,0.03,0.01,0.005,0.005
Whos this am in class:-),0.97,0.03,0.96,0.01,0.01,0.02,0.44999999999999996,0.55,0.9,0.07,0.02,0.007,0.003
Well obviously not because all the people in my cool college life went home ;_;,0.98,0.02,0.97,0.01,0.01,0.01,0.97,0.03,0.96,0.02,0.01,0.005,0.005
Ok i vl..do u know i got adsense approved..,0.98,0.02,0.96,0.01,0.01,0.02,0.92,0.08,0.94,0.04,0.01,0.005,0.005
Ok lar... Joking wif u oni...,0.98,0.02,0.97,0.01,0.01,0.01,0.97,0.03,0.96,0.03,0.01,0.0,0.0
"Actually nvm, got hella cash, we still on for  &lt;#&gt; ish?",0.97,0.03,0.96,0.01,0.01,0.02,0.44999999999999996,0.55,0.93,0.04,0.02,0.007,0.003
Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.,0.98,0.02,0.97,0.01,0.01,0.01,0.88,0.12,0.95,0.04,0.01,0.0,0.0
"It doesnt make sense to take it there unless its free. If you need to know more, wikipedia.com",0.96,0.04,0.94,0.01,0.02,0.03,0.8,0.2,0.8,0.15,0.04,0.007,0.003
Hello. We need some posh birds and chaps to user trial prods for champneys. Can i put you down? I need your address and dob asap. Ta r,0.85,0.15,0.78,0.02,0.08,0.12,0.050000000000000044,0.95,0.05,0.45,0.38,0.1,0.02
"Time n Smile r the two crucial things in our life. Sometimes time makes us to forget smile, and sometimes someone's smile makes us to forget time gud noon",0.88,0.12,0.85,0.01,0.1,0.04,0.97,0.03,0.95,0.04,0.01,0.0,0.0
Beauty sleep can help ur pimples too.,0.88,0.12,0.86,0.01,0.11,0.02,0.96,0.04,0.9,0.08,0.015,0.004,0.001
"(And my man carlos is definitely coming by mu tonight, no excuses)",0.97,0.03,0.96,0.01,0.01,0.02,0.95,0.05,0.95,0.03,0.01,0.007,0.003
"Science tells that chocolate will melt under the sunlight. Please don't walk under the sunlight. BCoz,I don't want to loss a sweet friend.",0.92,0.08,0.9,0.01,0.04,0.05,0.95,0.05,0.93,0.05,0.015,0.004,0.001
Customer service annoncement. You have a New Years delivery waiting for you. Please call 07046744435 now to arrange delivery,0.030000000000000027,0.97,0.01,0.03,0.04,0.92,0.020000000000000018,0.98,0.01,0.03,0.15,0.56,0.25
Don know:)this week i'm going to tirunelvai da.,0.98,0.02,0.97,0.01,0.01,0.01,0.97,0.03,0.96,0.03,0.01,0.0,0.0
Wat would u like 4 ur birthday?,0.98,0.02,0.97,0.01,0.01,0.01,0.75,0.25,0.95,0.03,0.01,0.005,0.005
I will reach office around  &lt;DECIMAL&gt; . &amp; my mobile have problem. You cann't get my voice. So call you asa i'll free,0.97,0.03,0.96,0.02,0.01,0.01,0.88,0.12,0.93,0.05,0.015,0.003,0.002
Hmmm.still we dont have opener?,0.97,0.03,0.95,0.02,0.01,0.02,0.75,0.25,0.93,0.05,0.01,0.005,0.005
"My Parents, My Kidz, My Friends n My Colleagues. All screaming.. SURPRISE !! and I was waiting on the sofa.. ... ..... ' NAKED...!",0.88,0.12,0.8500000000000001,0.010000000000000002,0.060000000000000005,0.08000000000000002,0.96,0.04,0.9,0.07,0.02,0.007,0.003
"Call 09094100151 to use ur mins! Calls cast 10p/min (mob vary). Service provided by AOM, just GBP5/month. AOM Box61,M60 1ER until u stop. Ages 18+ only!",0.020000000000000018,0.98,0.005,0.015,0.5,0.48,0.030000000000000027,0.97,0.010000000000000002,0.12000000000000001,0.35000000000000003,0.42000000000000004,0.10000000000000002
"Not for possession, especially not first offense",0.97,0.03,0.95,0.01,0.01,0.03,0.97,0.03,0.95,0.03,0.01,0.005,0.005
Am not working but am up to eyes in philosophy so will text u later when a bit more free for chat...,0.98,0.02,0.97,0.01,0.01,0.01,0.95,0.05,0.96,0.03,0.01,0.0,0.0
Went to pay rent. So i had to go to the bank to authorise the payment.,0.98,0.02,0.97,0.01,0.01,0.01,0.97,0.03,0.95,0.03,0.01,0.005,0.005
SORRY IM STIL FUCKED AFTER LAST NITE WENT TOBED AT 430 GOT UP 4 WORK AT 630,0.98,0.02,0.97,0.01,0.01,0.01,0.97,0.03,0.96,0.03,0.01,0.0,0.0
No let me do the math. Your not good at it.,0.98,0.02,0.97,0.01,0.01,0.01,0.92,0.08,0.96,0.03,0.01,0.0,0.0
Can i meet ü at 5.. As 4 where depends on where ü wan 2 in lor..,0.98,0.02,0.97,0.01,0.01,0.01,0.75,0.25,0.95,0.03,0.01,0.005,0.005
Dude sux for snake. He got old and raiden got buff,0.97,0.03,0.96,0.01,0.01,0.02,0.97,0.03,0.95,0.03,0.01,0.005,0.005
"Playin space poker, u?",0.97,0.03,0.96,0.01,0.01,0.02,0.75,0.25,0.95,0.03,0.015,0.004,0.001
"Lol, oh you got a friend for the dog ?",0.98,0.02,0.96,0.01,0.01,0.02,0.88,0.12,0.95,0.03,0.01,0.005,0.005
Also remember to get dobby's bowl from your car,0.98,0.02,0.97,0.01,0.01,0.01,0.75,0.25,0.95,0.04,0.01,0.0,0.0
As usual u can call me ard 10 smth.,0.98,0.02,0.97,0.01,0.01,0.01,0.15000000000000002,0.85,0.93,0.05,0.01,0.005,0.005
Hmmm.but you should give it on one day..,0.97,0.03,0.95,0.02,0.01,0.02,0.85,0.15,0.93,0.05,0.01,0.005,0.005
So i asked how's anthony. Dad. And your bf,0.97,0.03,0.95,0.01,0.01,0.03,0.65,0.35,0.93,0.05,0.01,0.005,0.005
Probably a couple hours tops,0.97,0.03,0.96,0.01,0.01,0.02,0.97,0.03,0.95,0.03,0.01,0.005,0.005
"Honey ? Sweetheart ? Darling ? Sexy buns ? Sugar plum ? Loverboy ? I miss you, boytoy ... *smacks your ass* Did you go to the gym too ?",0.97,0.03,0.96,0.01,0.01,0.02,0.88,0.12,0.94,0.04,0.01,0.007,0.003
So what about you. What do you remember,0.97,0.03,0.95,0.01,0.01,0.03,0.75,0.25,0.93,0.04,0.02,0.01,0.0
"Welcome to Select, an O2 service with added benefits. You can now call our specially trained advisors FREE from your mobile by dialling 402.",0.62,0.38,0.02,0.55,0.36,0.07,0.5,0.5,0.2,0.6,0.15,0.04,0.01
At 4. Let's go to bill millers,0.97,0.03,0.95,0.01,0.02,0.02,0.8,0.2,0.93,0.05,0.01,0.005,0.005
Ok no prob...,0.97,0.03,0.96,0.01,0.01,0.02,0.97,0.03,0.95,0.03,0.01,0.005,0.005
"Aiyo... Her lesson so early... I'm still sleepin, haha... Okie, u go home liao den confirm w me lor...",0.98,0.02,0.97,0.01,0.01,0.01,0.7,0.3,0.95,0.03,0.01,0.005,0.005
"Ok., is any problem to u frm him? Wats matter?",0.98,0.02,0.97,0.01,0.01,0.01,0.75,0.25,0.96,0.03,0.01,0.0,0.0
Why tired what special there you had,0.97,0.03,0.96,0.01,0.01,0.02,0.88,0.12,0.95,0.03,0.01,0.007,0.003
Y so late but i need to go n get da laptop...,0.97,0.03,0.95,0.01,0.01,0.03,0.92,0.08,0.93,0.05,0.015,0.004,0.001
Hi! This is Roger from CL. How are you?,0.55,0.45,0.5,0.05,0.08,0.37,0.44999999999999996,0.55,0.35,0.25,0.25,0.12,0.03
No b4 Thursday,0.97,0.03,0.95,0.02,0.01,0.02,0.95,0.05,0.94,0.04,0.01,0.005,0.005
have * good weekend.,0.94,0.06,0.93,0.02,0.04,0.01,0.97,0.03,0.95,0.04,0.01,0.0,0.0
No calls..messages..missed calls,0.94,0.06,0.9,0.04,0.02,0.04,0.9,0.1,0.9,0.06,0.03,0.007,0.003
I hope you that's the result of being consistently intelligent and kind. Start asking him about practicum links and keep your ears open and all the best. ttyl,0.98,0.02,0.97,0.01,0.01,0.01,0.92,0.08,0.95,0.04,0.01,0.0,0.0
Even u dont get in trouble while convincing..just tel him once or twice and just tel neglect his msgs dont c and read it..just dont reply,0.97,0.03,0.95,0.01,0.01,0.03,0.75,0.25,0.9,0.07,0.02,0.007,0.003
Okay lor... Will they still let us go a not ah? Coz they will not know until later. We drop our cards into the box right?,0.98,0.02,0.97,0.01,0.01,0.01,0.88,0.12,0.95,0.04,0.01,0.0,0.0
They will pick up and drop in car.so no problem..,0.97,0.03,0.95,0.03,0.01,0.01,0.95,0.05,0.95,0.03,0.01,0.005,0.005
How stupid to say that i challenge god.You dont think at all on what i write instead you respond immed.,0.98,0.02,0.96,0.01,0.01,0.02,0.95,0.05,0.95,0.03,0.01,0.005,0.005
Come aftr  &lt;DECIMAL&gt; ..now i m cleaning the house,0.97,0.03,0.95,0.02,0.01,0.02,0.7,0.3,0.93,0.05,0.01,0.005,0.005
"Hello my boytoy ... Geeee I miss you already and I just woke up. I wish you were here in bed with me, cuddling me. I love you ...",0.97,0.03,0.95,0.005,0.01,0.035,0.97,0.03,0.94,0.03,0.02,0.007,0.003
Todays Voda numbers ending with 7634 are selected to receive a £350 reward. If you have a match please call 08712300220 quoting claim code 7684 standard rates apply.,0.020000000000000018,0.98,0.005,0.005,0.04,0.95,0.020000000000000018,0.98,0.005,0.02,0.08,0.5,0.395
Baaaaabe! I misss youuuuu ! Where are you ? I have to go and teach my class at 5 ...,0.98,0.02,0.97,0.01,0.01,0.01,0.7,0.3,0.95,0.03,0.01,0.005,0.005
"No, I decided that only people who care about stuff vote and caring about stuff is for losers",0.98,0.02,0.97,0.01,0.01,0.01,0.98,0.02,0.97,0.02,0.005,0.003,0.002
Nope thats fine. I might have a nap tho!,0.98,0.02,0.97,0.01,0.01,0.01,0.97,0.03,0.96,0.03,0.005,0.003,0.002
If u laugh really loud.. If u talk spontaneously.. If u dont care what others feel.. U are probably with your dear &amp; best friends.. GOODEVENING Dear..:),0.92,0.08,0.9,0.01,0.04,0.05,0.97,0.03,0.93,0.05,0.015,0.004,0.001
Still work going on:)it is very small house.,0.97,0.03,0.95,0.02,0.01,0.02,0.96,0.04,0.94,0.04,0.01,0.005,0.005
Went fast asleep dear.take care.,0.98,0.02,0.97,0.01,0.01,0.01,0.97,0.03,0.96,0.03,0.01,0.0,0.0
"Babe, have you got enough money to pick up bread and milk ? And I'll give you it back when you get home ?",0.98,0.02,0.96,0.01,0.01,0.02,0.4,0.6,0.9,0.07,0.02,0.007,0.003
"Sir Goodmorning, Once free call me.",0.94,0.06,0.92,0.03,0.02,0.03,0.09999999999999998,0.9,0.72,0.2,0.06,0.015,0.005
Shb b ok lor... Thanx...,0.97,0.03,0.95,0.02,0.01,0.02,0.95,0.05,0.94,0.04,0.01,0.005,0.005
:-( that's not v romantic!,0.97,0.03,0.96,0.01,0.01,0.02,0.95,0.05,0.95,0.03,0.01,0.005,0.005
"Urgent! Please call 09066612661 from your landline, your complimentary 4* Lux Costa Del Sol holiday or £1000 CASH await collection. ppm 150 SAE T&Cs James 28, EH74RR",0.010000000000000009,0.99,0.005,0.005,0.04,0.95,0.010000000000000009,0.99,0.005,0.02,0.08,0.5,0.395
"Sun cant come to earth but send luv as rays. cloud cant come to river but send luv as rain. I cant come to meet U, but can send my care as msg to U. Gud evng",0.95,0.05,0.94,0.01,0.02,0.03,0.97,0.03,0.93,0.05,0.01,0.005,0.005
I've sent ü my part..,0.97,0.03,0.95,0.03,0.01,0.01,0.95,0.05,0.93,0.05,0.015,0.004,0.001
Have your lunch and come quickly and open the door:),0.98,0.02,0.97,0.01,0.01,0.01,0.75,0.25,0.95,0.04,0.01,0.0,0.0
Better. Made up for Friday and stuffed myself like a pig yesterday. Now I feel bleh. But at least its not writhing pain kind of bleh.,0.98,0.02,0.97,0.01,0.01,0.01,0.97,0.03,0.96,0.03,0.005,0.003,0.002
"It's ok, at least armand's still around",0.97,0.03,0.96,0.01,0.01,0.02,0.97,0.03,0.95,0.03,0.01,0.005,0.005
My birthday is on feb  &lt;#&gt;  da. .,0.97,0.03,0.95,0.01,0.01,0.03,0.95,0.05,0.94,0.04,0.01,0.007,0.003
Yesterday its with me only . Now am going home.,0.97,0.03,0.96,0.01,0.01,0.02,0.96,0.04,0.95,0.03,0.01,0.005,0.005
I'm wif him now buying tix lar...,0.97,0.03,0.96,0.01,0.01,0.02,0.97,0.03,0.95,0.03,0.01,0.005,0.005
URGENT! We are trying to contact U. Todays draw shows that you have won a £800 prize GUARANTEED. Call 09050001295 from land line. Claim A21. Valid 12hrs only,0.010000000000000009,0.99,0.005,0.005,0.02,0.97,0.010000000000000009,0.99,0.005,0.01,0.05,0.5,0.435
Never blame a day in ur life. Good days give u happiness. Bad days give u experience. Both are essential in life! All are Gods blessings! good morning.:,0.88,0.12,0.85,0.01,0.08,0.06,0.97,0.03,0.93,0.05,0.015,0.004,0.001
Are you plans with your family set in stone ?,0.97,0.03,0.96,0.01,0.01,0.02,0.75,0.25,0.95,0.03,0.01,0.005,0.005
Is ur lecture over?,0.98,0.02,0.97,0.01,0.01,0.01,0.85,0.15,0.96,0.03,0.01,0.0,0.0
How i noe... She's in da car now... Later then c lar... I'm wearing shorts...,0.98,0.02,0.97,0.01,0.01,0.01,0.95,0.05,0.96,0.03,0.01,0.0,0.0
TaKe CaRE n gET WeLL sOOn,0.97,0.03,0.96,0.01,0.01,0.02,0.97,0.03,0.95,0.03,0.01,0.005,0.005
Hey mr whats the name of that bill brison book the one about language and words,0.98,0.02,0.97,0.01,0.01,0.01,0.44999999999999996,0.55,0.93,0.05,0.01,0.005,0.005
Where are you ? You said you would be here when I woke ... :-(,0.98,0.02,0.97,0.01,0.01,0.01,0.75,0.25,0.95,0.03,0.01,0.005,0.005
meet you in corporation st outside gap … you can see how my mind is working!,0.97,0.03,0.95,0.01,0.02,0.02,0.85,0.15,0.93,0.05,0.01,0.005,0.005
Have a safe trip to Nigeria. Wish you happiness and very soon company to share moments with,0.96,0.04,0.95,0.01,0.01,0.03,0.97,0.03,0.94,0.04,0.01,0.007,0.003
K..then come wenever u lik to come and also tel vikky to come by getting free time..:-),0.98,0.02,0.97,0.01,0.01,0.01,0.88,0.12,0.95,0.04,0.01,0.0,0.0
Jay says that you're a double-faggot,0.97,0.03,0.96,0.01,0.01,0.02,0.96,0.04,0.95,0.03,0.01,0.005,0.005
"Yes obviously, but you are the eggs-pert and the potato head… Speak soon!",0.98,0.02,0.97,0.01,0.01,0.01,0.95,0.05,0.96,0.03,0.01,0.0,0.0
"Aight, text me tonight and we'll see what's up",0.98,0.02,0.97,0.01,0.01,0.01,0.25,0.75,0.95,0.03,0.01,0.005,0.005
Mm feeling sleepy. today itself i shall get that dear,0.97,0.03,0.95,0.01,0.01,0.03,0.95,0.05,0.94,0.04,0.01,0.005,0.005
I cant wait for cornwall. Hope tonight isnt too bad as well but its rock night shite. Anyway im going for a kip now have a good night. Speak to you soon.,0.98,0.02,0.97,0.01,0.01,0.01,0.97,0.03,0.96,0.03,0.005,0.003,0.002
Crucify is c not s. You should have told me earlier.,0.97,0.03,0.96,0.01,0.01,0.02,0.95,0.05,0.95,0.03,0.01,0.005,0.005
So that takes away some money worries,0.97,0.03,0.95,0.01,0.02,0.02,0.97,0.03,0.95,0.03,0.01,0.007,0.003
Is xy going 4 e lunch?,0.98,0.02,0.97,0.01,0.01,0.01,0.44999999999999996,0.55,0.95,0.03,0.01,0.005,0.005
Hi. Happy New Year. I dont mean to intrude but can you pls let me know how much tuition you paid last semester and how much this semester is. Thanks,0.96,0.04,0.95,0.01,0.01,0.03,0.15000000000000002,0.85,0.7,0.2,0.07,0.02,0.01
I jus reached home. I go bathe first. But my sis using net tell u when she finishes k...,0.98,0.02,0.97,0.01,0.01,0.01,0.95,0.05,0.96,0.03,0.005,0.003,0.002
Carry on not disturbing both of you,0.97,0.03,0.95,0.01,0.01,0.03,0.95,0.05,0.93,0.05,0.015,0.004,0.001
TheMob>Yo yo yo-Here comes a new selection of hot downloads for our members to get for FREE! Just click & open the next link sent to ur fone...,0.040000000000000036,0.96,0.01,0.02,0.6,0.37,0.06999999999999995,0.93,0.02,0.2,0.55,0.2,0.03
Then u ask darren go n pick u lor... But i oso sian tmr haf 2 meet lect...,0.98,0.02,0.97,0.01,0.01,0.01,0.92,0.08,0.95,0.04,0.01,0.0,0.0
You still coming tonight?,0.98,0.02,0.97,0.01,0.01,0.01,0.4,0.6,0.95,0.03,0.01,0.005,0.005
What not under standing.,0.97,0.03,0.95,0.01,0.01,0.03,0.92,0.08,0.94,0.04,0.015,0.004,0.001
Lol u still feeling sick?,0.98,0.02,0.97,0.01,0.01,0.01,0.88,0.12,0.95,0.03,0.01,0.005,0.005
I am in hospital da. . I will return home in evening,0.98,0.02,0.97,0.01,0.01,0.01,0.97,0.03,0.96,0.03,0.005,0.003,0.002
"Aight, I'll text you when I'm back",0.98,0.02,0.97,0.01,0.01,0.01,0.97,0.03,0.96,0.03,0.01,0.0,0.0
hanks lotsly!,0.97,0.03,0.95,0.01,0.01,0.03,0.97,0.03,0.95,0.03,0.01,0.005,0.005
Now press conference da:),0.97,0.03,0.96,0.01,0.01,0.02,0.95,0.05,0.95,0.03,0.01,0.005,0.005
We'll join the  &lt;#&gt;  bus,0.97,0.03,0.95,0.03,0.01,0.01,0.95,0.05,0.95,0.04,0.01,0.0,0.0
Haf u found him? I feel so stupid da v cam was working.,0.97,0.03,0.95,0.01,0.01,0.03,0.75,0.25,0.93,0.04,0.02,0.007,0.003
Hmm thinking lor...,0.98,0.02,0.97,0.01,0.01,0.01,0.97,0.03,0.96,0.02,0.01,0.005,0.005
"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a £1500 Bonus Prize, call 09066364589",0.020000000000000018,0.98,0.005,0.005,0.03,0.96,0.020000000000000018,0.98,0.005,0.02,0.08,0.5,0.395
I have to take exam with march 3,0.97,0.03,0.95,0.02,0.01,0.02,0.96,0.04,0.95,0.03,0.01,0.005,0.005
There's no point hangin on to mr not right if he's not makin u happy,0.97,0.03,0.95,0.01,0.02,0.02,0.95,0.05,0.94,0.04,0.01,0.005,0.005
Yeah do! Don‘t stand to close tho- you‘ll catch something!,0.98,0.02,0.97,0.01,0.01,0.01,0.95,0.05,0.96,0.03,0.01,0.0,0.0
Ok i also wan 2 watch e 9 pm show...,0.98,0.02,0.97,0.01,0.01,0.01,0.95,0.05,0.96,0.03,0.01,0.0,0.0
"HOT LIVE FANTASIES call now 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 is a national rate call",0.020000000000000018,0.98,0.01,0.01,0.72,0.26,0.030000000000000027,0.97,0.01,0.3,0.5,0.16,0.03
Good Morning my Dear........... Have a great &amp; successful day.,0.94,0.06,0.92,0.01,0.03,0.04,0.97,0.03,0.93,0.05,0.01,0.005,0.005
"Customer place, i wil cal u sir.",0.96,0.04,0.94,0.04,0.01,0.01,0.95,0.05,0.95,0.04,0.01,0.0,0.0
Ü say until like dat i dun buy ericsson oso cannot oredi lar...,0.98,0.02,0.97,0.01,0.01,0.01,0.97,0.03,0.96,0.03,0.005,0.003,0.002
"Hello. Sort of out in town already. That . So dont rush home, I am eating nachos. Will let you know eta.",0.98,0.02,0.97,0.01,0.01,0.01,0.95,0.05,0.96,0.03,0.005,0.003,0.002
THANX 4 PUTTIN DA FONE DOWN ON ME!!,0.97,0.03,0.96,0.01,0.01,0.02,0.95,0.05,0.95,0.03,0.01,0.005,0.005
My trip was ok but quite tiring lor. Uni starts today but it's ok 4 me cos i'm not taking any modules but jus concentrating on my final yr project.,0.98,0.02,0.97,0.01,0.01,0.01,0.97,0.03,0.96,0.03,0.005,0.003,0.002
"Merry Christmas to you too babe, i love ya *kisses*",0.98,0.02,0.97,0.01,0.01,0.01,0.98,0.02,0.96,0.03,0.005,0.003,0.002
Haf u eaten? Wat time u wan me 2 come?,0.98,0.02,0.97,0.01,0.01,0.01,0.75,0.25,0.95,0.03,0.01,0.005,0.005
Future is not what we planned for tomorrow.....! it is the result of what we do today...! Do the best in present... enjoy the future.,0.88,0.12,0.85,0.01,0.08,0.06,0.97,0.03,0.9,0.07,0.02,0.007,0.003
Aiyah e rain like quite big leh. If drizzling i can at least run home.,0.98,0.02,0.97,0.01,0.01,0.01,0.95,0.05,0.95,0.03,0.01,0.005,0.005
&lt;#&gt;  am I think? Should say on syllabus,0.97,0.03,0.95,0.02,0.01,0.02,0.88,0.12,0.94,0.04,0.01,0.005,0.005
Haha... can... But i'm having dinner with my cousin...,0.98,0.02,0.97,0.01,0.01,0.01,0.95,0.05,0.96,0.03,0.01,0.0,0.0
"Some friends want me to drive em someplace, probably take a while",0.97,0.03,0.96,0.01,0.01,0.02,0.95,0.05,0.95,0.03,0.01,0.005,0.005
"Sorry, got a late start, we're on the way",0.98,0.02,0.97,0.01,0.01,0.01,0.97,0.03,0.96,0.03,0.01,0.0,0.0
How about getting in touch with folks waiting for company? Just txt back your NAME and AGE to opt in! Enjoy the community (150p/SMS),0.030000000000000027,0.97,0.01,0.01,0.55,0.43,0.030000000000000027,0.97,0.01,0.12,0.4,0.4,0.07
How's it feel? Mr. Your not my real Valentine just my yo Valentine even tho u hardly play!!,0.97,0.03,0.96,0.01,0.01,0.02,0.95,0.05,0.95,0.03,0.01,0.005,0.005
Huh but i cant go 2 ur house empty handed right?,0.98,0.02,0.97,0.01,0.01,0.01,0.92,0.08,0.95,0.03,0.01,0.005,0.005
"I wasn't well babe, i have swollen glands at my throat ... What did you end up doing ?",0.98,0.02,0.97,0.01,0.01,0.01,0.75,0.25,0.95,0.03,0.01,0.005,0.005
Ok. I asked for money how far,0.97,0.03,0.95,0.01,0.01,0.03,0.75,0.25,0.85,0.08,0.04,0.02,0.01
Thanks for your message. I really appreciate your sacrifice. I'm not sure of the process of direct pay but will find out on my way back from the test tomorrow. I'm in class now. Do have a wonderful day.,0.97,0.03,0.95,0.01,0.01,0.03,0.95,0.05,0.9,0.06,0.02,0.01,0.01
Its sarcasm.. .nt scarcasim,0.98,0.02,0.97,0.01,0.01,0.01,0.97,0.03,0.96,0.03,0.01,0.0,0.0
Mum say we wan to go then go... Then she can shun bian watch da glass exhibition...,0.98,0.02,0.97,0.01,0.01,0.01,0.95,0.05,0.96,0.03,0.01,0.0,0.0
So what u doing today?,0.97,0.03,0.96,0.01,0.01,0.02,0.88,0.12,0.93,0.04,0.02,0.007,0.003
"True. It is passable. And if you get a high score and apply for phd, you get 5years of salary. So it makes life easier.",0.97,0.03,0.96,0.01,0.02,0.01,0.95,0.05,0.94,0.04,0.01,0.005,0.005
I only haf msn. It's yijue@hotmail.com,0.97,0.03,0.96,0.01,0.01,0.02,0.88,0.12,0.9,0.06,0.03,0.007,0.003
"Dear, will call Tmorrow.pls accomodate.",0.96,0.04,0.94,0.02,0.01,0.03,0.75,0.25,0.9,0.06,0.03,0.007,0.003
"Yeah, we can probably swing by once my roommate finishes up with his girl",0.98,0.02,0.97,0.01,0.01,0.01,0.97,0.03,0.96,0.03,0.01,0.0,0.0
So when you gonna get rimac access,0.97,0.03,0.96,0.01,0.01,0.02,0.75,0.25,0.93,0.05,0.015,0.004,0.001
Just normal only here :),0.97,0.03,0.95,0.01,0.01,0.03,0.97,0.03,0.95,0.03,0.01,0.005,0.005
Can ü call me at 10:10 to make sure dat i've woken up...,0.98,0.02,0.97,0.01,0.01,0.01,0.15000000000000002,0.85,0.93,0.05,0.01,0.005,0.005
You bad girl. I can still remember them,0.97,0.03,0.95,0.01,0.01,0.03,0.97,0.03,0.94,0.04,0.01,0.007,0.003
"Goodnight, sleep well da please take care pa. Please.",0.98,0.02,0.97,0.01,0.01,0.01,0.95,0.05,0.96,0.03,0.005,0.003,0.002
"As in missionary hook up, doggy hook up, standing...|",0.94,0.06,0.92,0.01,0.03,0.04,0.95,0.05,0.9,0.06,0.03,0.007,0.003
WE REGRET TO INFORM U THAT THE NHS HAS MADE A MISTAKE.U WERE NEVER ACTUALLY BORN.PLEASE REPORT 2 YOR LOCAL HOSPITAL 2B TERMINATED.WE R SORRY 4 THE INCONVENIENCE,0.8,0.2,0.72,0.05,0.05,0.18,0.65,0.35,0.7,0.2,0.06,0.03,0.01
Goin to workout lor... Muz lose e fats...,0.98,0.02,0.97,0.01,0.01,0.01,0.97,0.03,0.96,0.03,0.01,0.0,0.0
Appt is at &lt;TIME&gt; am. Not my fault u don't listen. I told u twice,0.97,0.03,0.95,0.04,0.005,0.005,0.95,0.05,0.95,0.04,0.007,0.002,0.001
I'm in a movie... Collect car oredi...,0.98,0.02,0.97,0.01,0.01,0.01,0.95,0.05,0.96,0.03,0.01,0.0,0.0
Nobody names their penis a girls name this story doesn't add up at all,0.98,0.02,0.97,0.01,0.01,0.01,0.97,0.03,0.96,0.03,0.01,0.0,0.0
Hey happy birthday...,0.96,0.04,0.95,0.01,0.02,0.02,0.97,0.03,0.95,0.04,0.01,0.0,0.0
Babes I think I got ur brolly I left it in English wil bring it in 2mrw 4 u luv Franxx,0.98,0.02,0.97,0.01,0.01,0.01,0.95,0.05,0.95,0.04,0.01,0.0,0.0
Ugh fuck it I'm resubbing to eve,0.98,0.02,0.97,0.01,0.01,0.01,0.97,0.03,0.96,0.03,0.01,0.0,0.0
That depends. How would you like to be treated? :),0.97,0.03,0.95,0.01,0.02,0.02,0.9,0.1,0.93,0.05,0.015,0.004,0.001
LOL ... No just was busy,0.98,0.02,0.97,0.01,0.01,0.01,0.97,0.03,0.96,0.03,0.01,0.0,0.0
"Gumby's has a special where a  &lt;#&gt; "" cheese pizza is $2 so I know what we're doin tonight",0.97,0.03,0.95,0.01,0.03,0.01,0.95,0.05,0.93,0.06,0.01,0.0,0.0
Pls call me da. What happen.,0.97,0.03,0.96,0.01,0.01,0.02,0.15000000000000002,0.85,0.9,0.06,0.03,0.007,0.003
Is there any training tomorrow?,0.97,0.03,0.95,0.03,0.01,0.01,0.7,0.3,0.9,0.07,0.02,0.007,0.003
"Im sorry bout last nite it wasnt ur fault it was me, spouse it was pmt or sumthin! U 4give me? I think u shldxxxx",0.98,0.02,0.97,0.01,0.01,0.01,0.75,0.25,0.95,0.03,0.01,0.005,0.005
Not course. Only maths one day one chapter with in one month we can finish.,0.97,0.03,0.95,0.02,0.02,0.01,0.95,0.05,0.95,0.03,0.01,0.005,0.005
Ok i wont call or disturb any one. I know all are avoiding me. I am a burden for all,0.97,0.03,0.96,0.01,0.01,0.02,0.95,0.05,0.94,0.04,0.01,0.005,0.005
Hey leave it. not a big deal:-) take care.,0.97,0.03,0.96,0.01,0.01,0.02,0.95,0.05,0.95,0.03,0.01,0.005,0.005
"you are sweet as well, princess. Please tell me your likes and dislikes in bed...",0.94,0.06,0.92,0.01,0.01,0.06,0.28,0.72,0.78,0.12,0.06,0.03,0.01
Are you staying in town ?,0.97,0.03,0.95,0.01,0.01,0.03,0.75,0.25,0.93,0.04,0.02,0.01,0.0
You are gorgeous! keep those pix cumming :) thank you!,0.95,0.05,0.93,0.01,0.02,0.04,0.7,0.3,0.85,0.09,0.04,0.015,0.005
Where's mummy's boy ? Is he being good or bad ? Is he being positive or negative ? Why is mummy being made to wait? Hmmmm?,0.97,0.03,0.96,0.01,0.01,0.02,0.75,0.25,0.94,0.04,0.01,0.005,0.005
Okie...,0.97,0.03,0.95,0.02,0.01,0.02,0.97,0.03,0.95,0.03,0.01,0.005,0.005
Dude ive been seeing a lotta corvettes lately,0.97,0.03,0.96,0.01,0.02,0.01,0.97,0.03,0.95,0.03,0.01,0.005,0.005
